,Title,published_date,views,likes,month
0,🪩💕🪩 Dance The Night BTS,2023-08-16 02:28:53+00:00,10954,2140,Aug
1,The making of “Dance The Night” for Barbie 💖 #markronson #andrewwyatt #carolineailin 💖,2023-08-07 14:49:16+00:00,141933,14141,Aug
2,Dance The Night is Top 5 in the UK! 💖,2023-08-03 04:48:51+00:00,1154489,70605,Aug
3,Dua Lipa - Dance The Night (From Barbie The Album) [Official Lyric Video],2023-07-24 20:19:08+00:00,3261033,67410,Jul
4,Dua Lipa - Dance The Night (From Barbie The Album) [Official Music Video],2023-05-25 23:00:09+00:00,76784060,1056417,May
5,London has my heart 💘,2022-05-04 14:35:49+00:00,1097018,45507,May
6,💚🧘🏻‍♀️#shorts,2022-04-27 10:07:58+00:00,976039,40510,Apr
7,UK ~ Manchester April 15 ‘22 💖 #shorts,2022-04-19 09:53:36+00:00,2165910,81794,Apr
8,North American leg of the Future Nostalgia tour down. UK up next!! 💘 #shorts,2022-04-08 09:27:23+00:00,512763,24067,Apr
9,GRAMMYS 22 🖤 #shorts,2022-04-06 14:30:52+00:00,1546779,65363,Apr
10,Livin in a dream world #shorts,2022-03-31 15:03:34+00:00,740782,41003,Mar
11,Recently…. @megantheestallion 🍦#shorts,2022-03-24 13:15:08+00:00,384671,16675,Mar
12,Sweetest Pie BTS out now on my channel!! 🍒 🥧 #shorts,2022-03-18 16:11:05+00:00,355258,16794,Mar
13,Megan Thee Stallion & Dua Lipa - Sweetest Pie [Official BTS],2022-03-18 13:00:29+00:00,1956786,59780,Mar
14,Sweetest Pie 🍒🍒 OUT NOW!!! #sweetestpie #megxdua #shorts,2022-03-11 16:00:36+00:00,296825,17081,Mar
15,Dua Lipa - Love Again (Garabatto Remix) [Official Audio],2021-10-14 23:00:29+00:00,4286171,90771,Oct
16,Dua Lipa - Love Again (Imanbek Remix) [Official Audio],2021-10-01 09:00:57+00:00,10638667,142250,Oct
17,Dua Lipa - Levitating (Official Animated Music Video),2021-09-13 13:46:23+00:00,18805914,567808,Sep
18,Dua Lipa - Love Again (Official Music Video),2021-06-04 12:00:11+00:00,281482923,2416246,Jun
19,Dua Lipa - Future Nostalgia Medley (Live at the BRIT Awards 2021),2021-05-11 21:23:58+00:00,27836647,469511,May
20,Dua Lipa - We're Good (Official Behind The Scenes),2021-03-19 16:09:28+00:00,1309910,54545,Mar
21,Dua Lipa - Levitating ft. DaBaby / Don't Start Now (Live at the GRAMMYs 2021),2021-03-15 02:34:09+00:00,73060998,1674690,Mar
22,Dua Lipa - STUDIO 2054 IS BACK!,2021-03-12 18:00:09+00:00,563270,23645,Mar
23,Dua Lipa - We’re Good (Dillon Francis Remix) [Official Audio],2021-03-12 08:00:10+00:00,1761914,47642,Mar
24,Dua Lipa - We're Good (Official Music Video),2021-02-12 05:00:13+00:00,95368675,1103833,Feb
25,Dua Lipa - We're Good (Official Audio),2021-02-11 23:00:08+00:00,10068935,162375,Feb
26,Dua Lipa x Angèle - Fever (Feder Remix) [Official Audio],2021-01-11 18:05:04+00:00,1694462,45250,Jan
27,Dua Lipa x Angèle - Fever (Myd Remix) [Official Audio],2021-01-11 18:04:59+00:00,361751,12033,Jan
28,Dua Lipa x Angèle - Fever (Vantage Remix) [Official Audio],2021-01-11 18:04:53+00:00,359943,14436,Jan
29,Dua Lipa - ‘Don’t Start Now’ on SNL,2021-01-04 17:29:21+00:00,3760222,91752,Jan
30,Dua Lipa - ‘Levitating’ on SNL,2021-01-04 17:29:18+00:00,3849539,101613,Jan
31,Dua Lipa performs “Levitating” | Hello 2021: Americas,2021-01-01 05:00:32+00:00,8027748,202410,Jan
32,Dua Lipa performs “Don’t Start Now” | Hello 2021: Americas,2021-01-01 05:00:11+00:00,1857390,67489,Jan
33,Dua Lipa x Angèle – Fever (Oklou Remix) [Official Audio],2020-12-18 10:55:22+00:00,1335686,43388,Dec
34,Dua Lipa - Levitating Featuring DaBaby [TikTok Edition],2020-12-16 20:57:15+00:00,4959529,189017,Dec
35,Dua Lipa - Levitating feat. DaBaby (Don Diablo Remix) [Official Audio],2020-12-11 10:00:06+00:00,4006428,103737,Dec
36,Dua Lipa - Levitating feat. DaBaby (KUU Remix) [Official Audio],2020-12-03 20:32:42+00:00,3418980,107534,Dec
37,Dua Lipa - ‘Levitating’ at the AMAs 2020,2020-11-24 01:00:04+00:00,34193841,752882,Nov
38,Dua Lipa and DaBaby take you behind the scenes for Levitating,2020-11-16 17:00:07+00:00,2438265,75670,Nov
39,"Dua Lipa, Angèle - Fever (Official Music Video)",2020-11-06 13:00:10+00:00,128089216,1441426,Nov
40,Dua Lipa & Angèle – Fever (Official Lyric Video),2020-10-30 13:00:04+00:00,32445802,305169,Oct
41,Dua Lipa & Angèle – Fever (Official Audio),2020-10-29 23:14:23+00:00,44673887,368721,Oct
42,Dua Lipa - Levitating (feat. Madonna & Missy Elliott) Behind The Scenes #FoundryFest,2020-10-23 16:00:12+00:00,2224130,104136,Oct
43,Dua Lipa - Levitating Featuring DaBaby (Official Music Video),2020-10-02 12:00:12+00:00,775504115,7278187,Oct
44,Dua Lipa & The Blessed Madonna - Club Future Nostalgia (Official Visualiser),2020-08-28 11:58:07+00:00,5797115,147121,Aug
45,Dua Lipa - Levitating (feat. Madonna and Missy Elliott) [The Blessed Madonna Remix] (Official Video),2020-08-14 12:00:02+00:00,39261945,658987,Aug
46,Dua Lipa - Levitating (feat. Madonna and Missy Elliott) [The Blessed Madonna Remix] (Official Audio),2020-08-13 17:04:24+00:00,2387081,105471,Aug
47,Dua Lipa - Hallucinate [Tensnake Remix] (Official Audio),2020-07-30 23:00:10+00:00,1057685,30592,Jul
48,Dua Lipa - Hallucinate (Paul Woolford Remix),2020-07-23 23:00:00+00:00,757003,33700,Jul
49,Dua Lipa - Hallucinate (Official Music Video),2020-07-10 12:00:12+00:00,79101226,977115,Jul
50,Dua Lipa - Break My Heart (Animated Video),2020-05-08 13:58:24+00:00,13538595,239103,May
51,Dua Lipa - Break My Heart (Official Reactions video),2020-04-29 13:41:18+00:00,517372,24891,Apr
52,Dua Lipa - Cool (Official Lyrics Video),2020-04-09 09:00:55+00:00,22377068,207669,Apr
53,Dua Lipa - Good In Bed (Official Lyrics Video),2020-04-09 09:00:50+00:00,21369427,201194,Apr
54,Dua Lipa - Hallucinate (Official Lyrics Video),2020-04-09 09:00:45+00:00,17001182,178204,Apr
55,Dua Lipa - Levitating (Official Lyrics Video),2020-04-09 09:00:40+00:00,134800653,966563,Apr
56,Dua Lipa - Love Again (Official Lyrics Video),2020-04-09 09:00:28+00:00,44805696,295584,Apr
57,Dua Lipa - Pretty Please (Official Lyrics Video),2020-04-09 09:00:25+00:00,30490871,229459,Apr
58,Dua Lipa - Physical (Official Lyrics Video),2020-04-09 09:00:21+00:00,4821019,52755,Apr
59,Dua Lipa - Break My Heart (Official Lyrics Video),2020-04-09 09:00:17+00:00,13198082,87279,Apr
60,Dua Lipa - Boys Will Be Boys (Official Lyrics Video),2020-04-09 09:00:12+00:00,8868862,271445,Apr
61,Dua Lipa - Future Nostalgia Livestream PART 2 - #StayHome  #WithMe,2020-03-27 15:26:03+00:00,1050345,36063,Mar
62,Dua Lipa - Future Nostalgia Livestream - #StayHome #WithMe,2020-03-26 16:07:45+00:00,1062592,43688,Mar
63,Dua Lipa - Break My Heart (Official Video),2020-03-26 13:30:12+00:00,570488126,5438394,Mar
64,Dua Lipa -  Physical (feat. Hwa Sa) (Official Audio),2020-03-18 03:15:49+00:00,4123107,283498,Mar
65,Dua Lipa - Let's Get Physical Work Out (Official Video),2020-03-06 12:59:03+00:00,39533175,594507,Mar
66,Dua Lipa - Physical (Directors Cut),2020-02-21 13:00:14+00:00,19722263,184560,Feb
67,Dua Lipa - Physical (Official Reaction Video),2020-02-13 18:57:13+00:00,198840,9372,Feb
68,Dua Lipa - Physical (Official Video),2020-01-31 13:00:12+00:00,429847049,3375150,Jan
69,Dua Lipa - Don't Start Now [Regard Remix] (Official Audio),2020-01-24 14:35:58+00:00,671662,20801,Jan
70,"Dua Lipa - Don't Start Now (Live in LA, 2019)",2020-01-10 09:24:40+00:00,222410890,914739,Jan
71,Dua Lipa - Don't Start Now [Kungs Remix] (Official Audio),2019-12-18 10:37:50+00:00,1408388,27703,Dec
72,Dua Lipa - Future Nostalgia (Official Lyrics Video),2019-12-16 13:00:06+00:00,23716783,395162,Dec
73,Dua Lipa - Don't Start Now [Purple Disco Machine Remix] (Official Video),2019-12-06 17:52:33+00:00,6130143,107511,Dec
74,Dua Lipa - Don't Start Now [Dom Dolla Remix] (Official Audio),2019-11-26 11:13:26+00:00,1531343,34316,Nov
75,Dua Lipa - Don't Start Now (Official Lyrics Video),2019-11-15 10:00:20+00:00,11212777,110397,Nov
76,Dua Lipa Diaries 016 - The MTV EMAs November 2019,2019-11-12 18:56:40+00:00,1140690,28733,Nov
77,Dua Lipa - Don't Start Now (Live at the MTV EMAs 2019),2019-11-07 14:55:29+00:00,17428460,319445,Nov
78,Dua Lipa - Don't Start Now (Official Reaction Video),2019-11-03 15:50:03+00:00,241734,11363,Nov
79,Dua Lipa - Don't Start Now (Official Music Video),2019-11-01 13:00:11+00:00,666799366,6873904,Nov
80,Dua Lipa - Don't Start Now (Out Now!),2019-10-23 23:48:25+00:00,3644229,90934,Oct
81,Dua Lipa - Don't Start Now (Out Now!),2019-10-23 23:43:39+00:00,1051276,32208,Oct
82,Dua Lipa - Swan Song (from Alita: Battle Angel) [Official Lyrics Music Video],2019-02-01 15:22:44+00:00,3348239,75274,Feb
83,Dua Lipa - Swan Song (From Alita: Battle Angel) [Official Music Video],2019-01-24 14:58:15+00:00,72839090,1073032,Jan
84,Dua Lipa & BLACKPINK - Kiss and Make Up (Official Audio),2018-10-18 22:56:57+00:00,237400950,3745109,Oct
85,Dua Lipa - One Kiss / Electricity (Live at the American Music Awards 2018),2018-10-10 06:25:55+00:00,9349803,173902,Oct
86,Dua Lipa Diaries 015 - Summer Festivals - August 2018,2018-09-15 10:45:01+00:00,429648,14491,Sep
87,Dua Lipa - IDGAF (Live),2018-09-11 14:16:03+00:00,1339693,40997,Sep
88,Dua Lipa Diaries 014 - Miami - June 2018,2018-08-03 14:55:11+00:00,1020104,18870,Aug
89,Dua Lipa Diaries 013 - Bonnaroo Music Festival - June 2018,2018-07-19 11:33:08+00:00,308974,9562,Jul
90,Dua Lipa - IDGAF [French Demo] (Official Audio),2018-07-17 16:18:07+00:00,1982034,97055,Jul
91,Dua Lipa Diaries 012 - V Magazine Meet & Greet - June 2018,2018-07-12 12:44:10+00:00,428128,13754,Jul
92,Dua Lipa - IDGAF [Young Franco Remix] (Official Audio),2018-07-11 15:47:06+00:00,203524,4916,Jul
93,Dua Lipa - IDGAF [Darius Remix] (Official Audio),2018-07-11 15:40:26+00:00,352108,8388,Jul
94,Dua Lipa - IDGAF [Anna Of The North Remix] (Official Audio),2018-07-11 15:35:28+00:00,135511,4634,Jul
